entity,catg,subcatg,TA_score,count
112 (teléfono),Motor,Robos y Vandalismo en Vehículos,64.01,13
a priori y a posteriori,Salud,Salud Mental y Emocional,54.160924369747896,119
abdomen,Salud,Salud Infantil,52.436,30
abintestato,Seguros,Aspectos Legales y Normativos,73.60777777777778,9
ablación (medicina),Salud,Medicina Preventiva,52.47,1
abogado,Hogar,Alquiler y Derechos del Inquilino,64.59505494505494,91
aborto,Salud,Salud Infantil,59.60666666666666,3
aborto inducido,Seguros,Seguros y Coberturas,49.75,1
absceso,Salud,Salud Mental y Emocional,72.15,2
absorción (farmacología),Salud,Salud Infantil,65.35,2
abstracción (filosofía),Motor,Normativas de Circulación y Licencias,75.16,4
accesibilidad,Salud,Medicina Preventiva,64.39,7
acceso a la información,Seguros,Seguros y Coberturas,74.1,1
acceso abierto,Seguros,Consultas y Atención al Cliente,42.02666666666667,3
accidente cerebrovascular,Salud,Medicina Preventiva,65.80132075471698,53
accidente de tránsito,Motor,Robos y Vandalismo en Vehículos,65.04839743589743,156
accidente in itinere,Seguros,Accidentes y Responsabilidades,56.836666666666666,18
accidente laboral,Seguros,Accidentes y Responsabilidades,67.55103448275862,58
accionista,Seguros,Impuestos y Deducciones,63.0,2
acción (finanzas),Seguros,Préstamos y Financiación,74.45625,24
acción directa,Hogar,Reparaciones y Mantenimiento,50.558,10
aceite,Motor,Problemas Comunes en Vehículos,61.721250000000005,72
aceleración,Motor,Mantenimiento y Reemplazo de Embragues,50.39,4
acelerador,Motor,Problemas Comunes en Vehículos,86.2,1
acera,Motor,Aspectos Legales de la Propiedad Vehicular,60.14,8
acero,Hogar,Coberturas y Responsabilidades,64.19333333333333,6
acné,Salud,Salud Digestiva,61.49071428571428,28
acondicionamiento de aire,Hogar,Electrodomésticos y Averías,68.5838888888889,18
acorde,Hogar,Coberturas y Responsabilidades,54.62,11
acordeón,Motor,Problemas Comunes en Vehículos,50.7,1
acrónimo,Motor,Gestión de Seguros Automovilísticos,45.2,1
actividad física,Salud,Trastornos Endocrinos,65.02377643504532,331
activo (contabilidad),Seguros,Préstamos y Financiación,56.94333333333333,21
actuaría,Seguros,Consultas y Atención al Cliente,62.41166666666667,6
acupuntura,Seguros,Seguros y Coberturas,44.03,1
acústica,Seguros,Seguros y Coberturas,40.34,1
adblue,Motor,Seguros de Responsabilidad Civil,77.31875,8
adelantado,Motor,Aspectos Legales de la Propiedad Vehicular,54.69714285714286,7
adelgazamiento,Salud,Salud Mental y Emocional,85.28705882352942,17
adenocarcinoma,Seguros,Seguros y Coberturas,74.56,1
adicción,Motor,Requisitos para Conducir sin Licencia,68.41181818181818,22
aditivo alimentario,Salud,Medicina Preventiva,64.62666666666667,3
administración pública,Seguros,Seguros y Coberturas,58.24470588235294,17
administración pública de españa,Seguros,Multas y Sanciones,84.57000000000001,13
adolescencia,Salud,Medicina Preventiva,48.45,10
adrenalina,Noticias,Delitos y Vandalismo,46.087272727272726,11
aduana,Motor,Trámites de Baja de Vehículos,67.14181818181818,11
adulto,Salud,Medicina Preventiva,57.78857142857142,7
aerodinámica,Motor,Problemas Comunes en Vehículos,58.03727272727272,11
aerolínea,Viajes,Cobertura Médica Internacional,64.66,31
aeropuerto,Viajes,Seguros de Viaje,67.07142857142857,7
aeropuerto internacional,Seguros,Seguros y Coberturas,47.88,1
aerosol,Seguros,Seguros y Coberturas,27.27,1
aesculus hippocastanum,Salud,Medicina Preventiva,60.300000000000004,3
afaquia,Salud,Medicina Preventiva,60.905,2
afeitado,Seguros,Accidentes y Responsabilidades,75.5,1
afición,Seguros,Seguros y Coberturas,36.2,1
afinidad (derecho),Seguros,Seguros y Coberturas,60.01461538461539,13
afonía,Salud,Salud Respiratoria,62.99689655172414,29
afrodisíaco,Salud,Salud Pancreática,67.45473903966597,479
afta,Salud,Medicina Preventiva,68.2,1
agencia de viajes,Viajes,Cobertura Médica Internacional,71.22038461538462,26
agencia estatal de administración tributaria,Seguros,Seguros y Coberturas,60.968421052631584,19
agencia estatal de meteorología,Hogar,Daños y Filtraciones,47.25545454545455,11
agente biológico patógeno,Salud,Salud Digestiva,58.775555555555556,27
agresividad,Seguros,Seguros y Coberturas,44.88,1
agresión,Noticias,Delitos y Vandalismo,60.733333333333334,18
agricultura,Seguros,Seguros y Coberturas,65.14399999999999,25
agua,Seguros,Accidentes y Responsabilidades,69.84740622505986,1253
agua caliente sanitaria,Hogar,Coberturas y Responsabilidades,57.93142857142857,7
agua de mar,Seguros,Seguros y Coberturas,54.7875,4
agua dulce,Seguros,Seguros y Coberturas,51.84,4
agua entubada,Hogar,Coberturas y Responsabilidades,56.56,1
agua potable,Seguros,Normativas de Convivencia,63.30692307692308,13
agua subterránea,Seguros,Seguros y Coberturas,62.528571428571425,7
aguanieve,Motor,Problemas Comunes en Vehículos,57.294999999999995,6
agudeza visual,Motor,Normativas de Circulación y Licencias,71.30333333333333,3
ahorro,Seguros,Consultas y Atención al Cliente,62.46861842105263,304
airbag (automóvil),Seguros,Normativas de Convivencia,76.56061728395062,81
aire,Salud,Medicina Preventiva,55.77951219512195,164
aislamiento acústico,Hogar,Alquiler y Derechos del Inquilino,58.88,1
aislamiento social,Salud,Medicina Preventiva,55.8,1
aislamiento térmico,Seguros,Seguros y Coberturas,54.38999999999999,7
albacea,Seguros,Seguros y Coberturas,58.44,1
albañil,Seguros,Seguros y Coberturas,52.209999999999994,2
albañilería,Hogar,Reparaciones y Mantenimiento,54.12,1
alcalino,Hogar,Coberturas y Responsabilidades,57.8,1
alcantarilla (españa),Motor,Problemas Comunes en Vehículos,62.71333333333333,3
alcohol,Salud,Medicina Preventiva,56.49068702290076,131
alcoholismo,Salud,Medicina Preventiva,60.97,12
alcoholímetro,Seguros,Riesgos y Responsabilidades,76.93333333333334,3
aleatoriedad,Seguros,Seguros y Coberturas,62.197500000000005,8
alemania,Seguros,Multas y Sanciones,69.01692307692308,13
alergia,Salud,Salud Digestiva,66.0315,40
alergia a alimentos,Salud,Medicina Preventiva,43.95,2
alergología,Salud,Salud Infantil,36.71714285714285,7
alfanumérico,Seguros,Consultas y Atención al Cliente,43.269,10
alforja (maleta),Motor,Normativas de Circulación y Licencias,70.095,2
algodón,Hogar,Reparaciones y Mantenimiento,54.80241379310345,29
aliados (segunda guerra mundial),Hogar,Reparaciones y Mantenimiento,53.15904761904761,21
alicante,Seguros,Impuestos y Deducciones,63.072500000000005,36
alimentación,Salud,Trastornos Endocrinos,55.50489570552147,815
alimento,Salud,Trastornos Endocrinos,82.34433221099889,891
alimento prebiótico,Salud,Salud Digestiva,61.63592592592593,27
allanamiento de morada,Hogar,Alquiler y Derechos del Inquilino,71.35666666666667,3
allianz,Seguros,Seguros y Coberturas,57.03333333333333,3
allium cepa,Salud,Salud Respiratoria,51.571379310344824,29
allium sativum,Salud,Salud Pancreática,71.31805845511482,479
alma,Salud,Medicina Preventiva,41.47,1
alprazolam,Motor,Gestión de Seguros Automovilísticos,92.9,1
alquiler de automóviles,Motor,Gestión de Seguros Automovilísticos,85.612,10
alquiler vacacional,Seguros,Aspectos Legales y Normativos,58.18,12
alta tecnología,Seguros,Salud y Bienestar,40.16444444444445,9
altavoz,Motor,Normativas de Circulación y Licencias,90.0425,4
alternador,Motor,Problemas Comunes en Vehículos,57.0,1
aluminio,Hogar,Reparaciones y Mantenimiento,60.1015,20
aluminosis,Hogar,Coberturas y Responsabilidades,76.3,1
alunizaje,Motor,Trámites de Baja de Vehículos,50.35,2
amarillo,Seguros,Normativas de Convivencia,65.83733333333333,15
amatista,Seguros,Seguros y Coberturas,68.84,3
ambulancia,Seguros,Seguros y Coberturas,63.164848484848484,33
amigdalitis,Salud,Salud Respiratoria,60.4251724137931,29
aminoácido,Salud,Salud Digestiva,58.070625,48
aminoácido esencial,Salud,Medicina Preventiva,64.0,3
ammotragus lervia,Seguros,Seguros y Coberturas,46.16,1
amniocentesis,Seguros,Seguros y Coberturas,60.952857142857134,7
amoníaco,Seguros,Seguros y Coberturas,66.43666666666667,3
